"Data Source","World Development Indicators",

"Last Updated Date","2017-04-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Spain","ESP","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","5354131473.65354","5023470250.24382","6071301238.17126","8078271024.51803","10141854426.5824","11449889380.123","11203847878.2747","11421307187.842","11252356624.4566","12216426909.0115","12637511502.677","17721560417.6129","21417365802.3717","24197375333.3593","24370005315.8899","27649292241.3952","28809878141.9825","33103722662.255","30088075076.5494","33421659959.5004","39970366099.8973","43680554605.4396","42976432596.8122","48271395320.6707","52524960035.6596","52826646196.66","55988948394.1192","60351184284.1716","73833737988.8632","84173461894.8516","92173958560.306","103450085297.71","119892171192.15","132363422595.822","112723026489.299","112897421896.917","130910473206.809","122219004081.826","126470967076.274","133200660902.212","118270704314.604","",
"Spain","ESP","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","11.2512260801193","11.7736396475786","10.7251752302515","10.0956735931254","10.3102723897349","10.5358699271244","11.4796205490771","11.3745563378196","9.98986478056496","10.1176686455386","10.4037169885361","11.2637233636319","10.6864181148936","10.6969132841825","12.2880461558706","11.2994194716135","12.7373231730326","11.4802996425591","14.9769827804733","14.8275740052811","16.1656603857348","17.0021774031429","18.6962638061331","20.0491362647053","38.8067284766286","41.8446304993788","43.6839249532936","45.4177102906062","44.4586289546765","44.5208926865811","46.2262691612606","48.6129489443414","50.0299033060798","51.3292467648433","50.5445840537348","51.8988288285762","52.2982907989348","52.6446393658229","32.2066493465007","33.6660639888509","34.1759596772441","",
"Spain","ESP","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.119727161","93.1536664673","87.6472723498","97.3029884376","90.9231155187","100","101.4728207746","109.3253216202","135.8194711363","158.8490865903","167.5660767733","185.895291151","220.3232036201","244.8485458226","197.7436019622","221.2976236776","266.6441509899","256.8147120881","276.4579285827","282.2877750089","245.1464993443","",
"Spain","ESP","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","724900000","710900000","733900000","736000000","954300000","943700000","1254800000","1383400000","1588440000","1895620000","2390070000","2938590000","3803140000","5158150000","7059040000","7671700000","8725430000","10219990000","13116470000","18206050000","20716730000","20329040000","20490540000","19726500000","23552230000","24232250000","27183670000","34155380000","40287530000","43635004350","55651360367","60262422426","63987319610","62660395187","73256621527","91527199673","102006000000","104147000000","107414000000","103674000000","108195000000","108956000000","118223000000","155404000000","181701000000","191986000000","212644000000","252069000000","280989000000","226194000000","253141000000","305163000000","294240000000","315187000000","322994000000","281763000000","",
"Spain","ESP","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","9.90481445716651","8.70727247151498","8.03924240359722","8.09782608695652","6.47595095881798","6.23079368443361","7.18839655722027","9.04293768974989","7.34431265896099","7.46510376552262","8.34787265644939","5.91303992731208","6.02002555782853","5.95310334131423","7.36884902196333","6.95517290822112","7.29820765280336","6.6340573718761","6.5541262245101","6.56177479464244","6.76139525880774","8.28966837588002","5.99491277438271","6.36326768560059","6.56706392558158","7.2249172074405","5.71096544359169","6.68427638632624","6.58397275782358","7.54470603399269","7.48716531723843","7.42073156294098","5.16986754428903","4.40211592813554","5.29644363749703","3.85858933810178","4.82205747262993","1.97499333375133","1.83891463827537","2.01720566390802","2.69913080826286","2.53919132493851","2.3984392207946","2.72399204653678","2.84548709143043","3.56745054326878","3.93627377212618","3.84596638222074","4.47507624853642","3.70331609149668","3.82336591069799","4.2073030806487","4.48554278820011","4.40731524460082","4.42858254332898","3.47543840591135","",
"Spain","ESP","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.869085391088426","1.87086791391194","1.74410682654313","1.6304347826087","2.1272136644661","2.40542545300413","1.46636914249283","1.25054214254735","1.16718289642668","2.39130205420918","3.17229202491977","2.48520548970765","3.2020909038321","4.02140302240144","2.9151272694304","4.25199108411434","3.20213445068037","3.36546317559998","3.86498806462409","3.53399007472791","3.7310907657724","4.12065695182852","3.99594154180417","4.14574303601754","3.47355643181134","3.49067874423547","2.5919237542245","2.2286093728133","2.1933337685383","1.67574306785053","1.54244597700008","1.6254123723402","2.0273514124565","1.68592714378793","0.844692694755194","0.999663963007271","1.2021834139679","1.26892582916505","1.30293383944916","1.28550041476166","0.980414806599196","1.14053810712581","1.09230031381372","1.13392538158606","1.0622164985333","1.18346879459961","1.25748504542804","1.23734437792827","1.36733626583247","1.40219050903207","1.44459392196444","1.45639690919279","1.67757470092442","1.92035439278904","1.64832049511756","1.61130765228969","",
"Spain","ESP","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","0.634570285556629","0.562667041778028","0.81755007494209","0.244565217391304","0.220056585979252","0.392073752251775","0.350653490596111","0.397571201387885","0.0944322731736798","0.143488673890337","0.139744861029175","0.227660204383735","0.274510010149508","0.319494392369357","0.506442802420726","0.693979170196958","0.71113973752583","0.290215548156114","0.472840634713456","0.446499927221995","0.455766909159892","0.794675990602606","0.769672248754791","0.932856816972093","0.929381209337715","0.770502120108533","0.786943043378617","0.648243409969381","0.407470996608628","0.461202498991599","0.351759875069039","0.297893429816948","0.306809908722804","0.350706554647762","0.374255276069961","0.350784035119149","0.387337962081838","0.301746525992395","0.272818270168972","0.249761849644077","0.268662969638153","0.268827141231323","0.313863376838686","0.271545455715426","0.369177109647168","0.475593376600377","0.422261761441658","0.503378241671923","0.501878080636609","0.605282942960468","0.727936169960615","0.722339569344908","0.675964144915715","0.588868608159601","0.593891991801705","0.645481369806185","",
"Spain","ESP","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","2.55207614843427","2.78520185680124","2.67066357814416","2.28260869565217","2.45205910091166","3.48627741867119","4.19190309212624","5.20456845453231","4.50693762433583","5.62718266319199","4.59066052458715","4.93161686387009","5.97742917694326","6.97498134020918","8.04316167637526","9.55303257426646","9.0873458385432","10.9100889531203","10.6488254842957","9.5573174851217","11.2507620652487","12.9745428215007","13.4082849939533","12.4360631637645","10.309936681155","7.66202065429335","5.17913879913934","4.46942765678496","4.30607187881709","3.60724511698805","3.72701683742742","3.66176758112024","3.54201616784366","3.66975295769451","3.19108972300409","3.3570048815078","2.83338357782287","2.86312619213227","2.97697746438732","3.00046414723074","3.0064479874301","3.16953880465509","3.30235182663272","3.24872242670716","3.52313129812164","3.43434156657256","3.19766224299769","3.53522249860157","4.36730384463449","4.8416919989036","4.49552364097479","4.47682808859528","5.45932983278956","5.46608188154968","5.52310990297033","5.2419349126358","",
"Spain","ESP","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","7.02165815974617","6.69573779715853","8.20275241858564","8.76358695652174","10.8142093681232","10.511815195507","16.3930506853682","11.3849934942894","13.7990733046259","13.0237072831053","10.0566092206504","10.167801564696","8.87319425527327","8.15680040324535","7.83364310161155","9.39726527366816","9.17547903083286","9.32799347161788","8.64607626899616","10.1155385160427","9.37927945192123","9.24401742531866","9.04056213257435","5.99640078067574","4.79164817938683","5.40936149140092","5.12027993276846","3.78209816433019","3.34666831150979","3.43705533548256","3.40709269809397","3.30011173293386","4.03469269533433","4.89839216268944","5.10814157034986","4.59318278680928","4.74916820639429","5.37165372263888","5.85341223443099","5.2958877828578","5.37240214427654","5.60450998568229","4.97510069952547","4.03973102365447","3.98934656386041","4.17186497973811","4.50867299335979","4.39130694373366","4.37710533152543","4.16912782832436","4.79241130437187","5.0329567804747","5.479257137031","5.76798452981881","5.2324989318687","5.23310757707932","",
